epoch,acc,loss,val_acc,val_loss
0,0.8520500000131627,0.10507359961047769,0.9562000042200088,0.03743638219311833
1,0.9618000038464865,0.025594802354462445,0.9681000047922135,0.017681009999942033
2,0.9703666747609774,0.014871241995909562,0.9727000045776367,0.012536807631258853
3,0.974883342285951,0.011397915475342113,0.9748000055551529,0.010585167953540803
4,0.9782000098625819,0.0094414952310035,0.9744000035524368,0.010720578568871132
5,0.9814000102877617,0.008117901104075525,0.9767000037431717,0.008724216726859595
6,0.9832833431164424,0.0072379417416717235,0.9805000042915344,0.008055286812013946
7,0.9847833439707756,0.006444076867240559,0.9800000047683716,0.007496081234939993
8,0.9862666767835617,0.005918835256549452,0.9808000057935715,0.0077738809391303225
9,0.9878166761994361,0.005290938061104195,0.9798000049591065,0.007515505861119891
10,0.989300008614858,0.004755880863109875,0.9799000060558319,0.007386628914009635
11,0.9899500081936519,0.004399246943527639,0.9801000064611435,0.00728852255453603
12,0.9910666742920875,0.004087992164544024,0.9814000070095062,0.006691226199925495
13,0.9918666740258535,0.0037574889165868323,0.9819000053405762,0.006661321529835504
14,0.9922166737914085,0.0034924143564057887,0.9832000052928924,0.0064833707353488985
15,0.9930166730284691,0.0032395668630852015,0.983000003695488,0.00616183366738845
16,0.9937000055114428,0.003042730951056001,0.9829000049829483,0.006241759659324089
17,0.9941166719794273,0.002855668555130251,0.9829000049829483,0.006095866888767887
18,0.9945166718959808,0.00268674125061807,0.9834000080823898,0.006201688210611849
19,0.9946666716535886,0.002537101461457496,0.9833000069856643,0.005863515637218262
