epoch,acc,loss,val_acc,val_loss
0,0.5384333331417293,0.1679227384304007,0.7233999961614609,0.11175053671002388
1,0.7517166658242543,0.09688689476499955,0.7880999982357025,0.07889150880277157
2,0.7904499976833661,0.07641376012936235,0.8183999979496002,0.06557827398180961
3,0.8150999973217646,0.0660808649038275,0.8367000013589859,0.058167369943112134
4,0.8317666657765707,0.059796618946517506,0.8458999997377395,0.05337122510187328
5,0.8404999982317288,0.05565977999940515,0.8545999997854232,0.05049497702158987
6,0.8474166652560234,0.05283731044580539,0.8585999989509583,0.04843202166259289
7,0.8525666656096776,0.050696087386459115,0.8610999971628189,0.046830025827512146
8,0.8564666671554247,0.04904769102111459,0.8654999971389771,0.045505141611211004
9,0.860099999109904,0.04768840356419484,0.867099996805191,0.04449441836681217
10,0.8627833332618078,0.046629769544427595,0.8700999975204468,0.04369003674481064
11,0.8653500002622604,0.045759686414773265,0.8731000018119812,0.042917656009085474
12,0.8673166660467784,0.04501283997669816,0.8741999995708466,0.04244909443426877
13,0.8685166657964388,0.0444414619791011,0.8753000020980835,0.04199924067594111
14,0.8700333335002264,0.04390638081977765,0.8760000032186508,0.041337059256620706
15,0.8708666660388311,0.043481314396485685,0.8774000042676926,0.0411716275382787
16,0.8720166658361753,0.04309073113215466,0.8786000019311905,0.0408944874862209
17,0.8727333334088325,0.04277643193801244,0.878600001335144,0.040567169166170064
18,0.8735833324988683,0.042476986218243834,0.8796000027656555,0.04037111468613148
19,0.8742333342631657,0.042235030084848406,0.8805000013113022,0.040115505577996376
